"Part";"Value";"Device";"Package";"Description";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"VENDOR";
"3A_LINE";"SE13";"SE13";"SE13";"SOLDER PAD E1542,  drill 1,3mm, distributor Buerklin, 07F815";"";"";"";"";"";"";
"3A_LINE1";"SE13";"SE13";"SE13";"SOLDER PAD E1542,  drill 1,3mm, distributor Buerklin, 07F815";"";"";"";"";"";"";
"6.25A_LINE";"SE13";"SE13";"SE13";"SOLDER PAD E1542,  drill 1,3mm, distributor Buerklin, 07F815";"";"";"";"";"";"";
"6.25A_LINE1";"SE13";"SE13";"SE13";"SOLDER PAD E1542,  drill 1,3mm, distributor Buerklin, 07F815";"";"";"";"";"";"";
"25A_LINE";"SE13";"SE13";"SE13";"SOLDER PAD E1542,  drill 1,3mm, distributor Buerklin, 07F815";"";"";"";"";"";"";
"25A_LINE1";"SE13";"SE13";"SE13";"SOLDER PAD E1542,  drill 1,3mm, distributor Buerklin, 07F815";"";"";"";"";"";"";
"C1";"12000uF";"C-USC1206K";"C1206K";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C2";"47uF";"C-USC1206K";"C1206K";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C3";"47uF";"C-USC1206K";"C1206K";"CAPACITOR, American symbol";"";"";"";"";"";"";
"CR1";"SMAJ5.0";"SMAJ5.0";"SMASERIES";"";"SMAJ5.0";"";"";"";"";"Littelfuse Inc";
"CR2";"SMAJ5.0";"SMAJ5.0";"SMASERIES";"";"SMAJ5.0";"";"";"";"";"Littelfuse Inc";
"CR3";"SMAJ5.0";"SMAJ5.0";"SMASERIES";"";"SMAJ5.0";"";"";"";"";"Littelfuse Inc";
"D1";"BAT60J";"BAT60J";"SOD323_ST";"Schottky barrier diode";"";"";"";"";"";"";
"D2";"BAT60J";"BAT60J";"SOD323_ST";"Schottky barrier diode";"";"";"";"";"";"";
"D3";"BAT60J";"BAT60J";"SOD323_ST";"Schottky barrier diode";"";"";"";"";"";"";
"F1";"25A";"TE5";"TE5";"FUSE";"";"";"";"unknown";"unknown";"";
"F2";"6.25A";"TE5";"TE5";"FUSE";"";"";"";"unknown";"unknown";"";
"F3";"3A";"TE5";"TE5";"FUSE";"";"";"";"unknown";"unknown";"";
"GND";"SE13";"SE13";"SE13";"SOLDER PAD E1542,  drill 1,3mm, distributor Buerklin, 07F815";"";"";"";"";"";"";
"GND2";"SE13";"SE13";"SE13";"SOLDER PAD E1542,  drill 1,3mm, distributor Buerklin, 07F815";"";"";"";"";"";"";
"JP";"1";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";
"JP@2";"2";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";
"LED1";"Green";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";"";"";"";"";"";
"LED2";"Red";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";"";"";"";"";"";
"LED3";"Yellow";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";"";"";"";"";"";
"LSP1";"SE13";"SE13";"SE13";"SOLDER PAD E1542,  drill 1,3mm, distributor Buerklin, 07F815";"";"";"";"";"";"";
"LSP2";"SE13";"SE13";"SE13";"SOLDER PAD E1542,  drill 1,3mm, distributor Buerklin, 07F815";"";"";"";"";"";"";
"LSP4";"SE13";"SE13";"SE13";"SOLDER PAD E1542,  drill 1,3mm, distributor Buerklin, 07F815";"";"";"";"";"";"";
"LSP6";"SE13";"SE13";"SE13";"SOLDER PAD E1542,  drill 1,3mm, distributor Buerklin, 07F815";"";"";"";"";"";"";
"LSP8";"SE13";"SE13";"SE13";"SOLDER PAD E1542,  drill 1,3mm, distributor Buerklin, 07F815";"";"";"";"";"";"";
"PIN_BANK";"1";"PINHD-2X5";"2X05";"PIN HEADER";"";"";"";"";"";"";
"PIN_BANK@2";"2";"PINHD-2X5";"2X05";"PIN HEADER";"";"";"";"";"";"";
"R1";"1.2k";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";"";"";
"R2";"150";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";"";"";
"R3";"560";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";"";"";
"VIN_12V";"SE13";"SE13";"SE13";"SOLDER PAD E1542,  drill 1,3mm, distributor Buerklin, 07F815";"";"";"";"";"";"";
